geoName,Keywords,RelativePopularity,Type,Origin,geoSum,PercentageBreakdown
American Samoa,Masala Dosa,0.0,Sides/Snacks,Indian,0.0,
American Samoa,Naan,0.0,Sides/Snacks,Indian,0.0,
American Samoa,Samosa,0.0,Sides/Snacks,Indian,0.0,
American Samoa,Aloo gobi,0.0,Mains,Indian,0.0,
American Samoa,Biryani,0.0,Mains,Indian,0.0,
American Samoa,Chicken Tikka Masala,0.0,Mains,Indian,0.0,
American Samoa,Indian Curry,0.0,Mains,Indian,0.0,
American Samoa,Tandoori,0.0,Mains,Indian,0.0,
American Samoa,Mango Lassi,0.0,Desserts/Drinks,Indian,0.0,
American Samoa,Masala Chai,0.0,Desserts/Drinks,Indian,0.0,
American Samoa,Soto,0.0,Soup/Noodles,Indonesian,0.0,
American Samoa,Pempek,0.0,Sides/Snacks,Indonesian,0.0,
American Samoa,Gado-gado,0.0,Mains,Indonesian,0.0,
American Samoa,Chicken Satay,0.0,Mains,Indonesian,0.0,
American Samoa,Nasi Goreng,0.0,Mains,Indonesian,0.0,
